,budget,genres,keywords,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,tagline,vote_average,vote_count,cast,director,year,month,return_rate
235,97250400,"['Fantasy', 'Adventure', 'Comedy', 'Family']","['competition', 'greece', 'colosseum', 'olympic games', 'emperor', 'magic', 'horse', 'roman', 'wild boar', 'governance', 'galier']","Astérix and Obélix have to win the Olympic Games in order to help their friend Alafolix marry Princess Irina (portrayed by supermodel Vanessa Hessler). Brutus (Benoît Poelvoorde) uses every trick in the book to have his own team win the game, and get rid of his father Julius Caesar (Alain Delon) in the process.",20.344364000000002,"['Constantin Film', 'TF1 Films Productions', 'Pathé Renn Productions', 'La Petite Reine', 'Tri Pictures', 'Sorolla Films', 'Novo RPI', 'Canal+', 'uFilm', 'Canal+ España', 'Le Tax Shelter du Gouvernement Fédéral de Belgique', 'Les Editions Albert René']","['Belgium', 'France', 'Germany', 'Italy', 'Spain']",2008-01-13,132900000,116.0,"['Français', 'Português']",,5.0,471,"[""['Clovis Cornillac'"", "" 'Gérard Depardieu'""]",Thomas Langmann,2008,01,36.6575355988253
236,115000000,"['Drama', 'Action', 'History', 'War']","['japan', 'world war ii', 'radio transmission', 'marine corps', 'u.s. army', 'code', 'navajo', 'pacific war']","Joe Enders is a gung-ho Marine assigned to protect a ""windtalker"" - one of several Navajo Indians who were used to relay messages during World War II because their spoken language was indecipherable to Japanese code breakers.",18.714197,"['Lion Rock Productions', 'Metro-Goldwyn-Mayer (MGM)']",['United States of America'],2002-06-14,77628265,134.0,"['English', '日本語', '']",Honor Was Their Code.,5.8,341,"[""['Nicolas Cage'"", "" 'Adam Beach'""]",John Woo,2002,06,-32.49716086956522
237,115000000,"['Action', 'Adventure', 'Drama']","['witch', 'magic', 'fairy tale', 'snow white', 'huntsman']","As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them.",60.467983999999994,"['Universal Pictures', 'Perfect World Pictures', 'Roth Films']",['United States of America'],2016-04-06,164602163,114.0,['English'],The story before Snow White,6.0,1523,"[""['Chris Hemsworth'"", "" 'Charlize Theron'""]",Cedric Nicolas-Troyan,2016,04,43.1323156521739
238,125000000,"['Science Fiction', 'Action', 'Adventure', 'Fantasy', 'Comedy']","['martial arts', 'terrorist', 'hero', 'mutation', 'van', 'turtle', 'vigilante', 'superhero', 'based on comic book', 'ninja', 'new york city', 'sewer', 'reboot', 'science experiment', '3d']",The city needs heroes. Darkness has settled over New York City as Shredder and his evil Foot Clan have an iron grip on everything from the police to the politicians. The future is grim until four unlikely outcast brothers rise from the sewers and discover their destiny as Teenage Mutant Ninja Turtles. The Turtles must work with fearless reporter April and her wise-cracking cameraman Vern Fenwick to save the city and unravel Shredder's diabolical plan.,143.350376,"['Paramount Pictures', 'Nickelodeon Movies', 'Platinum Dunes']",['United States of America'],2014-08-07,477200000,101.0,['English'],Mysterious. Dangerous. Reptilious. You've never seen heroes like this.,5.8,2636,"[""['Megan Fox'"", "" 'Will Arnett'""]",Jonathan Liebesman,2014,08,281.76
240,116000000,"['Action', 'Adventure', 'Thriller']","['helicopter', 'small town', 'mayor', 'evacuation', 'motel', 'lava', 'volcano', 'cabin', 'lovers', 'natural disaster', 'partnership', 'volcanologist', 'rescue', 'explosion', 'scientist', 'seismograph', 'volcanic eruption', 'rowboat', 'catastrophe', 'acid', 'county fair', 'abandoned mine', 'volcanic ash']","Volcanologist Harry Dalton comes to the sleepy town of Dante's Peak to investigate the recent rumblings of the dormant volcano the burg is named for. Before long, his worst fears are realized when a massive eruption hits, and immediately, Harry, the mayor and the townspeople find themselves fighting for their lives amid a catastrophic nightmare.",16.90444,"['Universal Pictures', 'Pacific Western']",['United States of America'],1997-02-07,178127760,108.0,['English'],The pressure is building...,5.7,428,"[""['Pierce Brosnan'"", "" 'Linda Hamilton'""]",Roger Donaldson,1997,02,53.55841379310344
241,135000000,"['Fantasy', 'Action', 'Adventure', 'Comedy']","['brother brother relationship', 'turtle', 'sequel', 'based on comic book', 'ninja', 'rat']","After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.",39.873791,"['Paramount Pictures', 'Nickelodeon Movies', 'Platinum Dunes', '5150 Action', 'Gama Entertainment Partners']","['China', 'United States of America', 'Hong Kong']",2016-06-01,245623848,112.0,['English'],Raise some shell.,5.8,963,"[""['Megan Fox'"", "" 'Stephen Amell'""]",Dave Green,2016,06,81.94359111111112
242,120000000,"['Action', 'Adventure', 'Science Fiction']","['teleportation', 'transformation', 'telekinesis', 'portal', 'marvel comic', 'superhero', 'based on comic book', 'superhero team', 'fantastic four', 'body horror', 'invisible woman']","Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy.",38.126095,"['Twentieth Century Fox Film Corporation', 'Marv Films', 'Marvel Entertainment', 'Constantin Film.', 'Moving Picture Company (MPC)', 'TSG Entertainment', 'Genre Films']",['United States of America'],2015-08-05,167977596,100.0,['English'],Change is coming.,4.4,2278,"[""['Miles Teller'"", "" 'Kate Mara'""]",Josh Trank,2015,08,39.98132999999999
243,110000000,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']","['museum', 'skeleton', 'night shift', 'chaos', 'genghis khan', 'maya civilization', 'natural history', 'theodore roosevelt', 'dinosaur', ""based on children's book"", 'magical object', 'security guard', 'duringcreditsstinger', 'inanimate objects coming to life']","Chaos reigns at the natural history museum when night watchman Larry Daley accidentally stirs up an ancient curse, awakening Attila the Hun, an army of gladiators, a Tyrannosaurus rex and other exhibits. Larry tries desperately to keep the museum under control, but he's fighting a losing battle until President Teddy Roosevelt comes to the rescue.",48.780039,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', '1492 Pictures', '21 Laps Entertainment']","['United States of America', 'United Kingdom']",2006-10-20,574480841,108.0,"['English', 'Italiano', 'עִבְרִית']",Where History Comes To Life,6.3,2862,"[""['Ben Stiller'"", "" 'Jake Cherry'""]",Shawn Levy,2006,10,422.25531
244,110000000,"['Action', 'Drama', 'Thriller']","['california', 'earthquake', 'catastrophe', 'disaster film', '3d', 'san andreas', 'san andreas california', 'rescue operation']","In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.",100.412364,"['New Line Cinema', 'Village Roadshow Pictures', 'Warner Bros.', 'Flynn Picture Company']","['Canada', 'United States of America', 'Australia']",2015-05-27,470490832,114.0,['English'],"A rescue pilot survived an earthquake, this is what happens next",6.0,2968,"[""['Dwayne Johnson'"", "" 'Alexandra Daddario'""]",Brad Peyton,2015,05,327.71893818181815
245,110000000,"['Adventure', 'Action', 'Thriller']","['london england', 'england', 'spy', 'china', 'news broadcast', 'intelligence', 'television', 'missile', 'manipulation of the media', 'secret intelligence service', 'special car', 'tv station', 'media tycoon', 'navy', 'motorcycle', 'secret service', 'hamburg germany']",A deranged media mogul is staging international incidents to pit the world's superpowers against each other. Now 007 must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium.,42.887121,['Eon Productions'],"['United Kingdom', 'United States of America']",1997-12-11,333011068,119.0,"['Deutsch', 'English', 'Dansk', '普通话', '广州话 / 廣州話']",Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.,6.0,925,"[""['Pierce Brosnan'"", "" 'Jonathan Pryce'""]",Roger Spottiswoode,1997,12,202.73733454545453
246,110000000,"['Drama', 'History', 'War', 'Action']","['rebel', 'southern usa', 'loss of son', 'martial arts', 'general', 'loss of family', 'passion', 'insurgence', 'french', 'daughter', 'south carolina', 'british', 'based on true story', 'gore', 'mission']","After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son.",23.657284,"['Centropolis Entertainment', 'Columbia Pictures Corporation', 'Mutual Film Company', 'Global Entertainment Productions GmbH & Company Medien KG']","['Germany', 'United States of America']",2000-06-28,215294342,165.0,['English'],Some things are worth fighting for.,6.8,1099,"[""['Mel Gibson'"", "" 'Heath Ledger'""]",Roland Emmerich,2000,06,95.72212909090909
247,110000000,"['Thriller', 'Crime']","['sequel', 'fabergé egg', 'dutch eastindian company', 'second', 'part', 'golden egg', 'goon']","Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.",76.840712,"['Village Roadshow Pictures', 'Section Eight', 'Jerry Weintraub Productions', 'Warner Bros.', 'WV Films III']",['United States of America'],2004-12-09,362744280,125.0,"['Français', 'Italiano', 'Nederlands', '普通话', 'English']",Twelve is the new eleven.,6.4,2124,"[""['George Clooney'"", "" 'Brad Pitt'""]",Steven Soderbergh,2004,12,229.76752727272728
248,110000000,"['Action', 'Comedy', 'Drama', 'Thriller']","['bomb', 'assassin', 'secret identity', 'secret', 'assault rifle', 'gun', 'married couple', 'hitman', 'decoy', 'marriage crisis', 'marriage', 'job', 'dysfunctional marriage', 'gunfight', 'bullet wound']","After five (or six) years of vanilla-wedded bliss, ordinary suburbanites John and Jane Smith are stuck in a huge rut. Unbeknownst to each other, they are both coolly lethal, highly-paid assassins working for rival organisations. When they discover they're each other's next target, their secret lives collide in a spicy, explosive mix of wicked comedy, pent-up passion, nonstop action and high-tech weaponry.",44.635452,"['Weed Road Pictures', 'Summit Entertainment', 'Regency Enterprises', 'Epsilon Motion Pictures', 'New Regency Pictures']",['United States of America'],2005-06-07,478207520,120.0,"['English', 'Español']",Smart and sexy.,6.5,2965,"[""['Angelina Jolie'"", "" 'Brad Pitt'""]",Doug Liman,2005,06,334.7341090909091
249,110000000,"['Adventure', 'Science Fiction', 'Thriller']","['based on novel', 'revolution', 'dystopia', 'sequel', 'dystopic future', 'young adult', '3d', 'divergent']",Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.,103.71838699999999,"['Summit Entertainment', 'Mandeville Films', 'Red Wagon Entertainment', 'NeoReel']",['United States of America'],2015-03-18,295238201,119.0,['English'],One Choice Can Destroy You,6.2,3829,"[""['Shailene Woodley'"", "" 'Theo James'""]",Robert Schwentke,2015,03,168.39836454545454
250,116000000,['Drama'],"['ladykiller', 'pilot', 'biography', 'womanizer', 'aviation', 'phobia', 'u.s. congress', 'flying boat', 'test flight']","A biopic depicting the life of filmmaker and aviation pioneer Howard Hughes from 1927 to 1947, during which time he became a successful film producer and an aviation magnate, while simultaneously growing more unstable due to severe obsessive-compulsive disorder.",45.616098,"['Miramax Films', 'Appian Way', 'Forward Pass', 'Cappa Productions', 'Warner Bros.', 'Initial Entertainment Group (IEG)', 'IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG', ""Mel's Cite du Cinema""]",['United States of America'],2004-12-17,102000000,170.0,['English'],"For some men, the sky was the limit. For him, it was just the beginning.",7.0,1489,"[""['Leonardo DiCaprio'"", "" 'Cate Blanchett'""]",Martin Scorsese,2004,12,-12.06896551724138
251,112000000,['Comedy'],"['journalist', 'forbidden love', 'princess', 'royal court', '3d']","Travel writer Lemuel Gulliver takes an assignment in Bermuda, but ends up on the island of Liliput, where he towers over its tiny citizens.",22.845143,"['Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Davis Entertainment', 'Dune Entertainment III']",['United States of America'],2010-12-25,237382724,85.0,['English'],Something big is going down.,4.9,621,"[""['Jack Black'"", "" 'Amanda Peet'""]",Rob Letterman,2010,12,111.94886071428573
252,120000000,"['Action', 'Crime', 'Comedy']","['bomb', 'martial arts', 'assassin', 'vandalism', 'nightclub', 'training', 'knife', 'party', 'playboy', 'superhero', 'revenge', 'trap', 'violence', 'kato', 'car chase', 'meth lab']","Britt Reid (Seth Rogen), the heir to the largest newspaper fortune in Los Angeles, is a spoiled playboy who has been, thus far, happy to lead an aimless life. After his father (Tom Wilkinson) dies, Britt meets Kato (Jay Chou), a resourceful company employee. Realizing that they have the talent and resources to make something of their lives, Britt and Kato join forces as costumed crime-fighters to bring down the city's most-powerful criminal, Chudnofsky (Christoph Waltz).",31.703608000000003,"['Original Film', 'Sony Pictures Entertainment', 'Reliance BIG Entertainment']",['United States of America'],2011-01-12,227817248,119.0,"['English', '普通话']",Breaking the Law to Protect It.,5.5,1251,"[""['Seth Rogen'"", "" 'Jay Chou'""]",Michel Gondry,2011,01,89.84770666666665
253,110000000,"['Action', 'War']","['based on graphic novel', 'ancient greece', 'duringcreditsstinger', 'sea battle', 'hand to hand combat', 'minions', 'naval warfare', '3d']","Based on Frank Miller's latest graphic novel Xerxes and told in the breathtaking visual style of the blockbuster ""300,"" this new chapter of the epic saga takes the action to a fresh battlefield--on the sea--as Greek general Themistokles attempts to unite all of Greece by leading the charge that will change the course of the war. ""300: Rise of an Empire"" pits Themistokles against the massive invading Persian forces led by mortal-turned-god Xerxes and Artemesia, the vengeful commander of the Persian navy.",71.51059599999999,"['Legendary Pictures', 'Hollywood Gang Productions', 'Atmosphere Entertainment MM', 'Warner Bros.', 'Nimar Studios', 'Cruel and Unusual Films']",['United States of America'],2014-03-05,337580051,102.0,['English'],Seize your glory!,6.1,2397,"[""['Sullivan Stapleton'"", "" 'Eva Green'""]",Noam Murro,2014,03,206.89095545454546
254,110000000,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']","['moon', 'magic', 'based on comic book', 'animation', 'good vs evil', 'smurf', 'blue', 'vortex', 'mischief', 'cat and mouse', 'duringcreditsstinger']","When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world and into ours -- in fact, smack dab in the middle of Central Park. Just three apples high and stuck in the Big Apple, the Smurfs must find a way to get back to their village before Gargamel tracks them down.",36.65422,"['Columbia Pictures', 'Sony Pictures Animation', 'Kerner Entertainment Company']",['United States of America'],2011-07-29,563749323,103.0,['English'],Smurf Happens.,5.5,1179,"[""['Hank Azaria'"", "" 'Neil Patrick Harris'""]",Raja Gosnell,2011,07,412.4993845454545
255,110000000,"['Animation', 'Family']","['farm', 'cow', 'animal']","When a greedy outlaw schemes to take possession of the ""Patch Of Heaven"" dairy farm, three determined cows, a karate-kicking stallion and a colorful corral of critters join forces to save their home. The stakes are sky-high as this unlikely animal alliance risk their hides and match wits with a mysterious band of bad guys.",19.625972,['Walt Disney Pictures'],['United States of America'],2004-04-02,103951461,76.0,"['普通话', 'English']",Bust a Moo,5.7,389,"[""['Roseanne Barr'"", "" 'Judi Dench'""]",Will Finn,2004,04,-5.498671818181822
256,110000000,"['Adventure', 'Science Fiction']","['based on novel', 'revolution', 'dystopia', 'sequel', 'dystopic future', 'young adult', 'based on young adult novel']",Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.,86.105615,"['Summit Entertainment', 'Lionsgate', 'Mandeville Films', 'Red Wagon Entertainment']",['United States of America'],2016-03-09,179246868,121.0,['English'],Break the boundaries of your world,5.9,1998,"[""['Shailene Woodley'"", "" 'Theo James'""]",Robert Schwentke,2016,03,62.95169818181818
257,110000000,"['Action', 'Science Fiction', 'Drama']","['father son relationship', 'fight', 'sport', 'robot', 'prizefighting', 'father son reunion', 'robot fighting']","In the near-future, Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After Charlie's robot is trashed, he reluctantly teams up with his estranged son Max to rebuild and train an unlikely contender.",37.195046000000005,"['DreamWorks SKG', '21 Laps Entertainment', 'Reliance Entertainment', 'Touchstone Pictures', 'ImageMovers', 'Angry Films', 'Revolution Sun Studios', 'Kontsept Film Company', 'Wardour Street Pictures']","['India', 'United States of America']",2011-09-28,299268508,127.0,['English'],"If you get one shot, make it real.",6.6,2692,"[""['Hugh Jackman'"", "" 'Dakota Goyo'""]",Shawn Levy,2011,09,172.06228000000002
258,105000000,"['Fantasy', 'Family', 'Comedy', 'Animation']","['based on cartoon', 'animation', 'smurf']","The evil wizard Gargamel creates a couple of mischievous Smurf-like creatures called the Naughties that he hopes will let him harness the all-powerful, magical Smurf-essence. But when he discovers that only a real Smurf can give him what he wants, and only a secret spell that Smurfette knows can turn the Naughties into real Smurfs, Gargamel kidnaps Smurfette and brings her to Paris, where he has been winning the adoration of millions as the world¹s greatest sorcerer. It's up to Papa, Clumsy, Grouchy, and Vanity to return to our world, reunite with their human friends Patrick and Grace Winslow, and rescue her! Will Smurfette, who has always felt different from the other Smurfs, find a new connection with the Naughties Vexy and Hackus or will the Smurfs convince her that their love for her is True Blue?",32.473628000000005,"['Columbia Pictures', 'Sony Pictures Animation', 'Kerner Entertainment Company', 'Hemisphere Media Capital', 'NeoReel']",['United States of America'],2013-07-30,347434178,105.0,['English'],Get ready to get naughty!,5.5,695,"[""['Hank Azaria'"", "" 'Neil Patrick Harris'""]",Raja Gosnell,2013,07,230.8896933333333
259,160000000,"['Action', 'Adventure', 'Thriller']","['boat', 'cruise', 'computer', 'disaster', 'diamond', 'collision course']",Sandra Bullock and Jason Patric star as a young couple whose dream cruise turns to terror when a lunatic computer genius (Willem Dafoe) sets a new course for destruction.,23.336875,"['Twentieth Century Fox Film Corporation', 'Blue Tulip Productions']",['United States of America'],1997-06-13,164508066,121.0,"['English', 'Português']","As the stakes get higher, the ride gets even faster.",4.1,434,"[""['Sandra Bullock'"", "" 'Jason Patric'""]",Jan de Bont,1997,06,2.8175412499999997
260,110000000,"['Science Fiction', 'Action', 'Adventure']","['based on novel', 'intolerance', 'chosen one', 'child prodigy', 'futuristic', 'space', 'science fiction', 'alien invasion', 'military school', 'morality tale', 'based on young adult novel']","Based on the classic novel by Orson Scott Card, Ender's Game is the story of the Earth's most gifted children training to defend their homeplanet in the space wars of the future.",45.94834,"['Summit Entertainment', 'Chartoff Productions', 'Odd Lot Entertainment', 'K/O Paper Products', 'Digital Domain', 'Taleswapper']",['United States of America'],2013-10-23,125537191,114.0,['English'],This is not a game.,6.6,2303,"[""['Asa Butterfield'"", "" 'Harrison Ford'""]",Gavin Hood,2013,10,14.124719090909089
261,110000000,"['Action', 'Thriller']","['usa', 'washington d.c.', 'helicopter', 'hostage', 'fbi', 'kidnapping', 'hacker', 'satellite', 'transport of prisoners', 'traffic jam', 'fistfight', 'ex-cop', 'sequel', 'suspense', 'shootout', 'explosion', 'violence', 'cell phone', 'car chase', 'police car', 'walkie talkie', 'based on article', 'cyber terrorism', 'action hero', 'power plant']","John McClane is back and badder than ever, and this time he's working for Homeland Security. He calls on the services of a young hacker in his bid to stop a ring of Internet terrorists intent on taking control of America's computer infrastructure.",48.933370000000004,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Cheyenne Enterprises', 'Wintergreen Productions']","['United Kingdom', 'United States of America']",2007-06-20,383531464,128.0,"['English', 'Italiano', 'Français']",The old school cop is back!,6.4,2089,"[""['Bruce Willis'"", "" 'Justin Long'""]",Len Wiseman,2007,06,248.6649672727273
263,110000000,"['Action', 'Adventure', 'Comedy']","['paris', 'london england', 'new york', 'jules verne', 'san francisco', 'istanbul', 'hot air balloon', 'journey round the world']","A bet pits a British inventor, a Chinese thief and a French artist on a worldwide adventure that they can circle the globe in 80 days.",22.643776000000003,"['Studio Babelsberg', 'Walden Media', 'Babelsberg Film', 'Mostow/Lieberman Productions', '80 Days Productions', 'Spanknyce Films', 'Fitzwilliam Productions']","['Germany', 'Ireland', 'United Kingdom', 'United States of America']",2004-06-16,72178895,120.0,"['Deutsch', 'English', 'Français', 'हिन्दी', 'Türkçe', '广州话 / 廣州話']",Let your imagination soar.,5.7,672,"[""['Jackie Chan'"", "" 'Steve Coogan'""]",Frank Coraci,2004,06,-34.38282272727273
264,107000000,['Drama'],"['usa', 'transporter', 'boxer', 'biography', 'muhammad']","In 1964, a brash new pro boxer, fresh from his olympic gold medal victory, explodes on to the scene; Cassius Clay. Bold and outspoken, he cuts an entirely new image for African Americans in sport with his proud public self confidence and his unapologetic belief that he is the greatest boxer of all time. Yet at the top of his game, both Ali's personal and professional lives face the ultimate test.",18.866672,['Columbia Pictures Corporation'],['United States of America'],2001-12-11,87713825,157.0,['English'],Float like a butterfly and sting like a bee.,6.7,447,"[""['Will Smith'"", "" 'Jamie Foxx'""]",Michael Mann,2001,12,-18.024462616822433
266,120000000,"['Action', 'Science Fiction']","['suicide', 'artificial intelligence', 'man vs machine', 'chicago', 'based on novel', 'hero', 'future', 'law', 'dystopia', 'police', 'murder', 'robot', '3d', 'humanoid robot']","In 2035, where robots are common-place and abide by the three laws of robotics, a techno-phobic cop investigates an apparent suicide. Suspecting that a robot may be responsible for the death, his investigation leads him to believe that humanity may be in danger.",95.914473,"['Twentieth Century Fox Film Corporation', 'Laurence Mark Productions', 'Davis Entertainment', 'Overbrook Entertainment', 'Mediastream Vierte Film GmbH & Co. Vermarktungs KG', 'Canlaws Productions']","['United States of America', 'Germany']",2004-07-15,347234916,115.0,['English'],Laws are made to be broken.,6.7,3793,"[""['Will Smith'"", "" 'Bridget Moynahan'""]",Alex Proyas,2004,07,189.36243
267,130000000,"['Drama', 'Action', 'Adventure', 'History', 'War']","['crusade', 'epic', 'knight', 'swordsman', 'order of the templars', 'religious', 'knight templars', 'saladin', 'king richard']","After his wife dies, a blacksmith named Balian is thrust into royalty, political intrigue and bloody holy wars during the Crusades.",44.490453,"['Studio Babelsberg', 'Twentieth Century Fox Film Corporation', 'Scott Free Productions', 'Kanzaman', 'Dune Films', 'BK', 'KOH', 'Reino del Cielo', 'Inside Track 3', 'Calle Cruzada']","['Germany', 'Morocco', 'Spain', 'United Kingdom', 'United States of America']",2005-05-03,211643158,144.0,"['العربية', 'English', 'Italiano', 'Latin']","Be without fear in the face of your enemies. Safeguard the helpless, and do no wrong",6.6,1157,"[""['Orlando Bloom'"", "" 'Eva Green'""]",Ridley Scott,2005,05,62.80242923076924
268,133000000,"['Animation', 'Fantasy', 'Family', 'Comedy']","['brother brother relationship', 'based on novel', 'cat', 'mouse', 'adoption', 'orphanage', 'step brother', 'kids and family', 'new york city twin towers', 'gangster']","The adventures of a heroic and debonair stalwart mouse named Stuart Little with human qualities, who faces some comic misadventures while searching for his lost bird friend and living with a human family as their child.",30.475296999999998,"['Columbia Pictures Corporation', 'Global Medien KG', 'Franklin/Waterman Productions']","['Germany', 'United States of America']",1999-12-17,300135367,84.0,['English'],The Little Family Just Got Bigger,5.8,959,"[""['Michael J. Fox'"", "" 'Geena Davis'""]",Rob Minkoff,1999,12,125.6656894736842
269,105000000,"['Romance', 'Family', 'Animation', 'Music']","['based on novel', 'voodoo', 'kiss', 'princess', 'animation', 'cajun', 'firefly', 'based on fairy tale', 'duringcreditsstinger', 'big dreams', 'frog prince', 'charlatan']","A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to do face the same problem after she kisses him.",62.479574,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",['United States of America'],2009-12-08,267045765,97.0,"['Français', 'English']",Every Love Story Begins With a Kiss...,6.7,1247,"[""['Anika Noni Rose'"", "" 'Bruno Campos'""]",Ron Clements,2009,12,154.3293
270,108000000,"['Drama', 'Adventure', 'Science Fiction']","['based on novel', 'mars', 'nasa', 'isolation', 'botanist', 'stranded', 'spaceship', 'space', 'engineering', 'survival', 'astronaut', 'science', 'deep space explorer', 'duringcreditsstinger', 'battle for survival']","During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",167.93287,"['Twentieth Century Fox Film Corporation', 'Scott Free Productions', 'Mid Atlantic Films', 'International Traders', 'TSG Entertainment', 'Genre Films']",['United States of America'],2015-09-30,630161890,141.0,"['English', '普通话']",Bring Him Home,7.6,7268,"[""['Matt Damon'"", "" 'Jessica Chastain'""]",Ridley Scott,2015,09,483.4832314814815
271,126000000,"['Action', 'Thriller', 'Science Fiction', 'Adventure']","['clone', 'transplantation', ""love of one's life"", 'dystopia', 'genetics', 'freedom', 'escape', 'cloning', 'plague']","In 2019, Lincoln Six-Echo is a resident of a seemingly ""Utopian"" but contained facility. Like all of the inhabitants of this carefully-controlled environment, Lincoln hopes to be chosen to go to The Island — reportedly the last uncontaminated location on the planet. But Lincoln soon discovers that everything about his existence is a lie.",37.68056,"['DreamWorks SKG', 'Warner Bros.', 'Parkes/MacDonald Productions']",['United States of America'],2005-07-20,162949164,136.0,['English'],Your time will come...,6.5,1770,"[""['Ewan McGregor'"", "" 'Scarlett Johansson'""]",Michael Bay,2005,07,29.32473333333334
272,90000000,"['Comedy', 'Romance']","['architect', 'cellist', 'friends', 'anniversary']","Porter Stoddard is a well-known New York architect who is at a crossroads... a nexus where twists and turns lead to myriad missteps some with his wife Ellie, others with longtime friends Mona and her husband Griffin. Deciding which direction to take often leads to unexpected encounters with hilarious consequences.",1.004579,['New Line Cinema'],[],2001-04-27,10372291,104.0,['English'],There's no such thing as a small affair.,3.7,16,"[""['Warren Beatty'"", "" 'Diane Keaton'""]",Peter Chelsom,2001,04,-88.47523222222222
273,90000000,"['Action', 'Crime', 'Thriller']","['brother brother relationship', 'detective', 'car race', 'car thief', 'blackmail', 'brother', 'remake', 'heist', 'betrayal', 'organized crime', 'shootout', 'police chase', 'explosion', 'violence', 'lock pick', 'car chase', 'stakeout', 'illegal drugs', 'car movie', 'stolen cars', 'ford mustang', 'blacklight']","Upon learning that he has to come out of retirement to steal 50 cars in one night to save his brother Kip's life, former car thief Randall ""Memphis"" Raines enlists help from a few ""boost happy"" pals to accomplish a seemingly impossible feat. From countless car chases to relentless cops, the high-octane excitement builds as Randall swerves around more than a few roadblocks to keep Kip alive.",52.995628,"['Jerry Bruckheimer Films', 'Touchstone Pictures']",['United States of America'],2000-06-09,237202299,118.0,['English'],"Ice Cold, Hot Wired.",6.1,1485,"[""['Nicolas Cage'"", "" 'Angelina Jolie'""]",Dominic Sena,2000,06,163.55811
274,103000000,"['Action', 'Drama', 'Adventure']","['rome', 'gladiator', 'arena', 'senate', 'roman empire', 'emperor', 'slavery', 'battlefield', 'blood', 'ancient world', 'father daughter relationship', 'combat', 'mother son relationship', 'dream sequence', 'chariot', 'philosopher', 'barbarian horde', '2nd century', 'successor']","In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.",95.301296,"['DreamWorks SKG', 'Universal Pictures', 'Scott Free Productions', 'Red Wagon Entertainment', 'Mill Film', 'C & L', 'Dawliz']","['United Kingdom', 'United States of America']",2000-05-01,457640427,155.0,['English'],A Hero Will Rise.,7.9,5439,"[""['Russell Crowe'"", "" 'Joaquin Phoenix'""]",Ridley Scott,2000,05,344.31109417475733
